행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
3.1운동 100주년 기념전시 「현대미술로 바라본 여성인권_위안부」,남동소래아트홀 갤러리화소,전시회,2019-10-31,2019-11-30,10:00,17:00,무료,남동구도시관리공단+SR커뮤니케이션,남동구도시관리공단+한국문화예술회관연합회,032-460-0560,문화체육관광부+국민체육진흥공단,,,전연령,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
「SAC on Screen」 - 연극 보물섬,남동소래아트홀 소래극장,영상프로그램,2019-11-05,2019-11-05,09:30,16:00,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
"마티네 콘서트 「마실」 - 정크, 클라운",남동소래아트홀 소래극장,연극,2019-11-27,2019-11-27,11:00,13:00,무료,남동구도시관리공단+한국문화예술회관연합회,남동구도시관리공단+문화체육관광부,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
기획프로그램 「김현철 30주년 콘서트」,남동소래아트홀 소래극장,콘서트,2019-11-29,2019-11-29,20:00,22:00,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석55000원+S석44000원+A석33000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
송승환의 오리지널 「난타」,남동소래아트홀 소래극장,뮤지컬,2019-12-13,2019-12-15,15:00,21:30,유료,남동구도시관리공단,남동구도시관리공단+㈜피엠씨프러덕션,032-460-0560,,703,R석60000원+S석50000원+A석40000원,24개월 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 비트 더 리듬,남동소래아트홀 소래극장,콘서트,2019-12-18,2019-12-18,11:00,13:00,유료,남동구도시관리공단+진명,남동구도시관리공단+한국문화예술회관연합회,032-460-0560,문화체육관광부+한국문화예술위원회,703,전석3000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
"김소현, 손준호의 「LOVE & MUSICAL 콘서트」",남동소래아트홀 소래극장,콘서트,2019-12-21,2019-12-21,19:00,21:00,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석55000원+S석44000원+A석33000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
신년공연 「금난새의 해설이있는 신년음악회」,남동소래아트홀 소래극장,클래식,2020-01-18,2020-01-18,19:00,21:30,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석25000원+S석15000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
"마티네 콘서트 「마실」 - 진조크루, 리듬오브코리아",남동소래아트홀 소래극장,무용,2020-07-29,2020-08-05,11:00,20:30,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,,,만 7세 이상 관람 가능,,온라인 송출,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 판소리극 필경사 바틀비,남동소래아트홀 소래극장,연극,2020-09-02,2020-09-05,11:00,18:00,무료,남동구도시관리공단+희비쌍곡선,한국문화예술회관연합회,032-460-0560,문화체육관광부+한국문화예술위원회,,,만 7세 이상 관람 가능,,온라인 송출,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 유니크와 샌드아트가 들려주는 어린왕자 이야기,남동소래아트홀 소래극장,클래식,2020-11-04,2020-11-09,11:00,11:50,무료,남동구도시관리공단+유니크앙상블,한국문화예술회관연합회,032-460-0560,문화체육관광부+한국문화예술위원회,,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
윤한의 가을밤 콘서트,남동소래아트홀 소래극장,클래식,2020-11-21,2020-11-21,19:00,20:30,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석30000원+S석20000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
"마티네 콘서트 「마실」 - 솔리스츠, 아카펠라 콘서트",남동소래아트홀 소래극장,콘서트,2020-12-02,2020-12-07,11:00,20:30,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,,,만 7세 이상 관람 가능,,온라인 송출,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
「SAC on Screen」 - 호두까기 인형,남동소래아트홀 소래극장,영상프로그램,2019-04-02,2019-04-02,09:30,15:30,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
넌버벌 코미디 「옹알스」,남동소래아트홀 소래극장,코미디,2019-04-13,2019-04-13,19:00,20:30,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,전석20000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
어린이 체험전 「모래알은 반짝」,남동소래아트홀 갤러리화소,체험전,2019-04-19,2019-06-29,10:00,18:00,유료,남동구도시관리공단,남동구도시관리공+PMC 키즈,032-460-0560,,,아동23000원+성인17000원,24개월 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
마티네 콘서트 「마실」 - 찰리채플린 시네마콘서트 With 신나는섬,남동소래아트홀 소래극장,콘서트+영상프로그램,2019-04-24,2019-04-24,11:00,12:30,유료,남동구도시관리공단+한국문화예술회관연합회,남동구도시관리공단+문화체육관광부,032-460-0560,,703,전석3000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
「SAC on Screen」 - 피노키오,남동소래아트홀 소래극장,영상프로그램,2019-05-07,2019-05-07,09:30,15:30,무료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
연극「그대를 사랑합니다」,남동소래아트홀 소래극장,연극,2019-05-18,2019-05-18,19:00,20:40,유료,남동구도시관리공단,남동구도시관리공단,032-460-0560,,703,R석40000원+S석30000원,만 7세 이상 관람 가능,,음식물 반입 금지,http://www.namdongarts.kr,,Y,인천광역시 남동구 아암대로1437번길 32(논현동),인천광역시 남동구 논현동 767-4,37.38746222,126.7245965,2023-11-06,3530000,인천광역시 남동구
